"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0c5de29041b1bcfe2010ba9bde32f320",1;18425156869923,-4;51970319939478,0;240510076244323,-0;0200635236134085,0;983992698223924,NA
"99d56121b201885e2327e1aaefee27e0",5;25983190696163,-1;03276746735502,0;399771032238197,1;24925455449012,0;211571984099172,0;296647957044454
"f5f092fdfbb1dcc0827bf409ad96e634",5;09061411950924,-4;06832443872153,0;396588662714034,-2;93964781420546,0;00328585499442582,0;0132697990159504
"2b3c915c3bce80b053b118bfac9819c6",1;18425156869923,3;44948480138082,0;251887562203283,-0;0200635236134085,0;983992698223924,NA
"db927f3e3abb74321d0262b8624b01c7",1;66077482509878,-0;712988933511968,0;335036655557012,-2;11488878430808,0;0344394273236857,0;0881985333899269
"37e6c524ce699f13fe323a63bc20adf9",1;58939904854131,-6;0224040528065,0;290710032535569,-1;7933135333042,0;0729228046477833,0;154700854370425
"1b0539acdc7399feee3aaebdd5e61067",13;7535289336217,-2;90166259659387,0;414112894314011,-6;67062251512565,2;54720628626686e-11,2;6745666005802e-10
"7ef0412f12032fcc6224d8d98783f44f",1;55360662260745,-4;27925360103176,0;273224810824317,-1;78867560762739,0;0736670735097263,0;154700854370425
"e71fb4db708f786a39f0bf2bd9b6e50b",1;16259142068107,-1;11055420741528,0;292176194958305,0;114401169419023,0;908919787020722,NA
"92c359d5fc0b3cd4cf326768b8132a41",1;57413423302613,-7;82100753780481,0;259327889187979,-1;85853571257921,0;0630929767996636,0;140952394977972
